experiment_name,backend.name,backend.version,backend._target_,backend.seed,backend.inter_op_num_threads,backend.intra_op_num_threads,backend.initial_isolation_check,backend.continous_isolation_check,backend.delete_cache,backend.no_weights,backend.export,backend.use_cache,backend.use_merged,backend.torch_dtype,backend.provider,backend.provider_options.trt_engine_cache_enable,backend.provider_options.trt_engine_cache_path,backend.provider_options.device_id,backend.provider_options.trt_fp16_enable,backend.use_io_binding,backend.session_options.enable_profiling,backend.optimization,backend.quantization,backend.calibration,backend.auto_optimization,backend.auto_quantization,backend.use_inference_session,backend.use_ddp,backend.peft_strategy,benchmark.name,benchmark._target_,benchmark.duration,benchmark.warmup_runs,benchmark.memory,benchmark.energy,benchmark.input_shapes.batch_size,benchmark.input_shapes.sequence_length,benchmark.input_shapes.num_choices,benchmark.input_shapes.feature_size,benchmark.input_shapes.nb_max_frames,benchmark.input_shapes.audio_sequence_length,benchmark.new_tokens,benchmark.can_diffuse,benchmark.can_generate,model,device,task,hub_kwargs.revision,hub_kwargs.cache_dir,hub_kwargs.force_download,hub_kwargs.local_files_only,environment.optimum_version,environment.transformers_version,environment.accelerate_version,environment.diffusers_version,environment.python_version,environment.system,environment.cpu,environment.cpu_count,environment.cpu_ram_mb,environment.gpus,Unnamed: 0,forward.latency(s),forward.throughput(samples/s),forward.peak_memory(MB),backend.auto_optimization_config.disable_shape_inference,backend.device_map,backend.disable_grad,backend.eval_mode,backend.amp_autocast,backend.amp_dtype,backend.torch_compile,backend.bettertransformer,backend.quantization_scheme
bge_batch_size_sweep_ort_trt_fp16,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,TensorrtExecutionProvider,True,tmp/trt_cache,0,True,False,False,False,False,False,,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,128,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.0584,2190.0,4612,,,,,,,,,
bge_batch_size_sweep_ort_trt_fp16,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,TensorrtExecutionProvider,True,tmp/trt_cache,0,True,False,False,False,False,False,,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,32,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.0152,2110.0,4016,,,,,,,,,
bge_batch_size_sweep_ort_trt_fp16,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,TensorrtExecutionProvider,True,tmp/trt_cache,0,True,False,False,False,False,False,,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,64,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.0303,2110.0,4150,,,,,,,,,
bge_batch_size_sweep_ort_cuda_o4,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,CUDAExecutionProvider,,,0,,False,False,False,False,False,O4,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,128,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.0639,2000.0,5583,False,,,,,,,,
bge_batch_size_sweep_ort_cuda_o4,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,CUDAExecutionProvider,,,0,,False,False,False,False,False,O4,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,64,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.0324,1980.0,4304,False,,,,,,,,
bge_batch_size_sweep_ort_trt_fp16,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,TensorrtExecutionProvider,True,tmp/trt_cache,0,True,False,False,False,False,False,,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,16,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.00811,1970.0,3943,,,,,,,,,
bge_batch_size_sweep_ort_cuda_o4,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,CUDAExecutionProvider,,,0,,False,False,False,False,False,O4,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,32,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.0167,1920.0,4304,False,,,,,,,,
bge_batch_size_sweep_ort_trt_fp16,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,TensorrtExecutionProvider,True,tmp/trt_cache,0,True,False,False,False,False,False,,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,256,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.137,1870.0,5514,,,,,,,,,
bge_batch_size_sweep_ort_trt_fp16,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,TensorrtExecutionProvider,True,tmp/trt_cache,0,True,False,False,False,False,False,,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,8,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.00434,1840.0,3899,,,,,,,,,
bge_batch_size_sweep_ort_cuda_o4,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,CUDAExecutionProvider,,,0,,False,False,False,False,False,O4,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,16,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.00883,1810.0,3767,False,,,,,,,,
bge_batch_size_sweep_ort_cuda_o4,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,CUDAExecutionProvider,,,0,,False,False,False,False,False,O4,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,256,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.146,1750.0,8152,False,,,,,,,,
bge_batch_size_sweep_ort_cuda_o4,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,CUDAExecutionProvider,,,0,,False,False,False,False,False,O4,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,512,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.294,1740.0,13263,False,,,,,,,,
bge_batch_size_sweep_ort_cuda_o4,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,CUDAExecutionProvider,,,0,,False,False,False,False,False,O4,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,1024,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.595,1720.0,23700,False,,,,,,,,
bge_batch_size_sweep_ort_cuda_o4,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,CUDAExecutionProvider,,,0,,False,False,False,False,False,O4,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,2048,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,1.2,1710.0,44135,False,,,,,,,,
bge_batch_size_sweep_ort_cuda_o4,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,CUDAExecutionProvider,,,0,,False,False,False,False,False,O4,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,8,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.00486,1650.0,3767,False,,,,,,,,
bge_batch_size_sweep_ort_trt_fp16,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,TensorrtExecutionProvider,True,tmp/trt_cache,0,True,False,False,False,False,False,,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,4,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.00259,1540.0,3871,,,,,,,,,
bge_batch_size_sweep_ort_cuda_o4,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,CUDAExecutionProvider,,,0,,False,False,False,False,False,O4,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,4,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.00307,1300.0,3765,False,,,,,,,,
bge_batch_size_sweep_ort_trt_fp16,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,TensorrtExecutionProvider,True,tmp/trt_cache,0,True,False,False,False,False,False,,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,2,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.00176,1140.0,3851,,,,,,,,,
bge_batch_size_sweep_ort_cuda_o4,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,CUDAExecutionProvider,,,0,,False,False,False,False,False,O4,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,2,256,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.00195,1030.0,3500,False,,,,,,,,
bge_seq_len_sweep_ort_trt_fp16,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,TensorrtExecutionProvider,True,tmp/trt_cache,0,True,False,False,False,False,False,,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,1,16,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.000995,1010.0,3832,,,,,,,,,
bge_seq_len_sweep_ort_trt_fp16,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,TensorrtExecutionProvider,True,tmp/trt_cache,0,True,False,False,False,False,False,,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,1,32,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.00105,952.0,3844,,,,,,,,,
bge_seq_len_sweep_ort_cuda_o4,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,CUDAExecutionProvider,,,0,,False,False,False,False,False,O4,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,1,16,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.0011,909.0,3532,False,,,,,,,,
bge_seq_len_sweep_ort_trt_fp16,onnxruntime,ort-gpu:1.15.1,optimum_benchmark.backends.onnxruntime.backend.ORTBackend,42,,,False,False,False,False,True,True,False,,TensorrtExecutionProvider,True,tmp/trt_cache,0,True,False,False,False,False,False,,,True,False,,inference,optimum_benchmark.benchmarks.inference.benchmark.InferenceBenchmark,10,10,True,False,1,64,1,80,3000,16000,,False,False,BAAI/bge-base-en-v1.5,cuda,feature-extraction,main,,False,False,1.13.0,4.34.0.dev0,0.23.0.dev0,0.21.0.dev0,3.8.10,Linux, AMD EPYC 7742 64-Core Processor,128,540684,"['NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB', 'NVIDIA A100-SXM4-80GB']",0,0.0011,909.0,3857,,,,,,,,,
